Lista elemek száma;Lista mérésének ideje(ms);Tömb elemek száma;Tömb mérésének ideje(ms)
100;0,0018;100;0,0011
500;0,0075;500;0,0042
1000;0,0188;1000;0,0089
10000;0,1487;10000;0,08
50000;0,6371;50000;0,3244
100000;0,8031;100000;0,4658
