Lista elemek száma;Lista mérésének ideje(ms);Tömb elemek száma;Tömb mérésének ideje(ms)
100;0,0105;100;0,0069
500;0,0687;500;0,0363
1000;0,1046;1000;0,061
10000;3,3348;10000;0,8353
50000;5,7559;50000;4,84
