Lista elemek száma;Lista mérésének ideje(ms);Tömb elemek száma;Tömb mérésének ideje(ms)
100;0,4193;100;0,0332
500;1,5219;500;0,8959
1000;5,7456;1000;4,5337
10000;536,5083;10000;355,5272
50000;10104,3142;50000;4450,0136
