Lista elemek száma;Lista mérésének ideje(ms);Tömb elemek száma;Tömb mérésének ideje(ms)
100;0,108;100;0,0656
500;2,6649;500;1,4356
1000;11,8393;1000;5,4478
10000;1279,9303;10000;673,5049
50000;15428,6728;50000;10872,0544
100000;58626,7032;100000;36498,3482
